Tiempo Qualy (milisegundos);Length (m);Curva lenta;Curva media;Curva rapida;Presupuesto (mill. Euros);Asphalt Abrasion;log(aa);log(cl);log(cm);log(cr);log(ag);Año;Race;procentaje de tiempo con el acelerador a fondo;porcentaje de tiempo de frenada;Downforce;Tyre Stress;Lateral energy;Asphalt Grip
83,485;5,303;6;4;5;429,5;3;0,477121255;0,77815125;0,602059991;0,698970004;0;2017;Australia;64;13;4;1;2;1
81,879;5,303;6;4;5;350;3;0,477121255;0,77815125;0,602059991;0,698970004;0;2018;Australia;64;13;4;1;2;1
81,32;5,303;6;4;5;260;3;0,477121255;0,77815125;0,602059991;0,698970004;0;2019;Australia;64;13;4;1;2;1
69,687;5,412;3;7;2;429,5;5;0,698970004;0,477121255;0,84509804;0,301029996;0.602059991;2017;Bahrain;64;16;2;3;3;4
69,378;5,412;3;7;2;350;5;0,698970004;0,477121255;0,84509804;0,301029996;0.602059991;2018;Bahrain;64;16;2;3;3;4
68,752;5,412;3;7;2;260;5;0,698970004;0,477121255;0,84509804;0,301029996;0.602059991;2019;Bahrain;64;16;2;3;3;4
95,433;5,451;5;4;3;429,5;3;0,477121255;0,698970004;0,602059991;0,477121255;0.477121255;2017;China;55;15;2;4;4;3
91,796;5,451;5;4;3;350;3;0,477121255;0,698970004;0,602059991;0,477121255;0.477121255;2018;China;55;15;2;4;4;3
92,089;5,451;5;4;3;260;3;0,477121255;0,698970004;0,602059991;0,477121255;0.477121255;2019;China;55;15;2;4;4;3
101,789;6,003;7;5;4;429,5;1;0;0,84509804;0,698970004;0,602059991;0.301029996;2017;Azerbaijan;65;10;2;3;2;2
101,994;6,003;7;5;4;350;1;0;0,84509804;0,698970004;0,602059991;0.301029996;2018;Azerbaijan;65;10;2;3;2;2
101,069;6,003;7;5;4;260;1;0;0,84509804;0,698970004;0,602059991;0.301029996;2019;Azerbaijan;65;10;2;3;2;2
79,706;4,655;5;7;1;429,5;3;0,477121255;0,698970004;0,84509804;0;0.602059991;2017;Spain;60;13;4;4;4;4
76,816;4,655;5;7;1;350;3;0,477121255;0,698970004;0,84509804;0;0.602059991;2018;Spain;60;13;4;4;4;4
76,357;4,655;5;7;1;260;3;0,477121255;0,698970004;0,84509804;0;0.602059991;2019;Spain;60;13;4;4;4;4
72,496;3,337;9;4;3;429,5;1;0;0,954242509;0,602059991;0,477121255;0;2017;Monaco;45;25;5;1;1;1
70,973;3,337;9;4;3;350;1;0;0,954242509;0,602059991;0,477121255;0;2018;Monaco;45;25;5;1;1;1
70,618;3,337;9;4;3;260;1;0;0,954242509;0,602059991;0,477121255;0;2019;Monaco;45;25;5;1;1;1
72,403;4,361;3;3;2;429,5;1;0;0,477121255;0,477121255;0,301029996;0;2017;Canada;60;17;2;2;1;1
70,937;4,361;3;3;2;350;1;0;0,477121255;0,477121255;0,301029996;0;2018;Canada;60;17;2;2;1;1
71,06;4,361;3;3;2;260;1;0;0,477121255;0,477121255;0,301029996;0;2019;Canada;60;17;2;2;1;1
91,237;5,842;6;6;4;429,5;3;0,477121255;0,77815125;0,77815125;0,602059991;0.477121255;2017;France;60;10;3;4;4;3
90,705;5,842;6;6;4;350;3;0,477121255;0,77815125;0,77815125;0,602059991;0.477121255;2018;France;60;10;3;4;4;3
89,409;5,842;6;6;4;260;3;0,477121255;0,77815125;0,77815125;0,602059991;0.477121255;2019;France;60;10;3;4;4;3
64,983;4,318;1;5;3;429,5;1;0;0;0,698970004;0,477121255;0.301029996;2017;Austria;60;14;3;2;3;2
63,84;4,318;1;5;3;350;1;0;0;0,698970004;0,477121255;0.301029996;2018;Austria;60;14;3;2;3;2
63,439;4,318;1;5;3;260;1;0;0;0,698970004;0,477121255;0.301029996;2019;Austria;60;14;3;2;3;2
88,13;5,891;3;6;6;429,5;3;0,477121255;0,477121255;0,77815125;0,77815125;0.602059991;2017;Britain;66;9;4;5;5;4
86,602;5,891;3;6;6;350;3;0,477121255;0,477121255;0,77815125;0,77815125;0.602059991;2018;Britain;66;9;4;5;5;4
85,276;5,891;3;6;6;260;3;0,477121255;0,477121255;0,77815125;0,77815125;0.602059991;2019;Britain;66;9;4;5;5;4
72,159;4,574;3;6;3;429,5;2;0,301029996;0,477121255;0,77815125;0,477121255;0.477121255;2017;Germany;65;15;3;3;3;3
71,822;4,574;3;6;3;350;2;0,301029996;0,477121255;0,77815125;0,477121255;0.477121255;2018;Germany;65;15;3;3;3;3
72,113;4,574;3;6;3;260;2;0,301029996;0,477121255;0,77815125;0,477121255;0.477121255;2019;Germany;65;15;3;3;3;3
76,797;4,381;4;5;4;429,5;3;0,477121255;0,602059991;0,698970004;0,602059991;0.602059991;2017;Hungary;55;14;4;3;4;4
98,032;4,381;4;5;4;350;3;0,477121255;0,602059991;0,698970004;0,602059991;0.602059991;2018;Hungary;55;14;4;3;4;4
74,572;4,381;4;5;4;260;3;0,477121255;0,602059991;0,698970004;0,602059991;0.602059991;2019;Hungary;55;14;4;3;4;4
103,38;7,004;4;4;8;429,5;4;0,602059991;0,602059991;0,602059991;0,903089987;0.602059991;2017;Belgium;70;14;2;5;5;4
122,769;7,004;4;4;8;350;4;0,602059991;0,602059991;0,602059991;0,903089987;0.602059991;2018;Belgium;70;14;2;5;5;4
103,69;7,004;4;4;8;260;4;0,602059991;0,602059991;0,602059991;0,903089987;0.602059991;2019;Belgium;70;14;2;5;5;4
96,702;5,793;3;4;7;429,5;3;0,477121255;0,477121255;0,602059991;0,84509804;0.301029996;2017;Italy;74;11;1;5;2;2
80,615;5,793;3;4;7;350;3;0,477121255;0,477121255;0,602059991;0,84509804;0.301029996;2018;Italy;74;11;1;5;2;2
79,903;5,793;3;4;7;260;3;0,477121255;0,477121255;0,602059991;0,84509804;0.301029996;2019;Italy;74;11;1;5;2;2
99,814;5,065;11;5;1;429,5;3;0,477121255;1,041,392,685;0,698970004;0;0;2017;Singapore;45;21;5;1;2;1
96,334;5,065;11;5;1;350;3;0,477121255;1,041,392,685;0,698970004;0;0;2018;Singapore;45;21;5;1;2;1
96,813;5,065;11;5;1;260;3;0,477121255;1,041,392,685;0,698970004;0;0;2019;Singapore;45;21;5;1;2;1
95,161;5,848;5;9;2;429,5;2;0,301029996;0,698970004;0,954242509;0,301029996;0.477121255;2017;Russia;56;10;4;1;3;3
93,048;5,848;5;9;2;350;2;0,301029996;0,698970004;0,954242509;0,301029996;0.477121255;2018;Russia;56;10;4;1;3;3
92,31;5,848;5;9;2;260;2;0,301029996;0,698970004;0,954242509;0,301029996;0.477121255;2019;Russia;56;10;4;1;3;3
88,332;5,807;3;8;4;429,5;3;0,477121255;0,477121255;0,903089987;0,602059991;0.602059991;2017;Japan;6;6,5;3;5;5;4
89,057;5,807;3;8;4;350;3;0,477121255;0,477121255;0,903089987;0,602059991;0.602059991;2018;Japan;6;6,5;3;5;5;4
87,851;5,807;3;8;4;260;3;0,477121255;0,477121255;0,903089987;0,602059991;0.602059991;2019;Japan;6;6,5;3;5;5;4
93,658;5,513;9;7;1;429,5;3;0,477121255;0,954242509;0,84509804;0;0.301029996;2017;United States;48;15;3;3;4;2
93,542;5,513;9;7;1;350;3;0,477121255;0,954242509;0,84509804;0;0.301029996;2018;United States;48;15;3;3;4;2
92,096;5,513;9;7;1;260;3;0,477121255;0,954242509;0,84509804;0;0.301029996;2019;United States;48;15;3;3;4;2
76,574;4,304;6;7;6;429,5;2;0,301029996;0,77815125;0,84509804;0,77815125;0.301029996;2017;Mexico;45;10;4;3;2;2
74,785;4,304;6;7;6;350;2;0,301029996;0,77815125;0,84509804;0,77815125;0.301029996;2018;Mexico;45;10;4;3;2;2
74,758;4,304;6;7;6;260;2;0,301029996;0,77815125;0,84509804;0,77815125;0.301029996;2019;Mexico;45;10;4;3;2;2
68,925;4,309;1;6;7;429,5;3;0,477121255;0;0,77815125;0,84509804;0.477121255;2017;Brazil;60;16;4;3;4;3
67,778;4,309;1;6;7;350;3;0,477121255;0;0,77815125;0,84509804;0.477121255;2018;Brazil;60;16;4;3;4;3
67,508;4,309;1;6;7;260;3;0,477121255;0;0,77815125;0,84509804;0.477121255;2019;Brazil;60;16;4;3;4;3
97,328;5,554;8;5;4;429,5;2;0,301029996;0,903089987;0,698970004;0,602059991;0.301029996;2017;Abu Dhabi;60;17;3;2;3;2
95,589;5,554;8;5;4;350;2;0,301029996;0,903089987;0,698970004;0,602059991;0.301029996;2018;Abu Dhabi;60;17;3;2;3;2
95,139;5,554;8;5;4;260;2;0,301029996;0,903089987;0,698970004;0,602059991;0.301029996;2019;Abu Dhabi;60;17;3;2;3;2
