Tiempo Qualy (segundos);Tyre Stress;Lateral energy;Asphalt Grip;Asphalt Abrasion;Downforce;Length (km);Presupuesto (mill. Euros);Race;Año;;
83.485;1;2;1;3;4;5.303;429.5;Australia;2017;;
81.879;1;2;1;3;4;5.303;350;Australia;2018;;
81.32;1;2;1;3;4;5.303;260;Australia;2019;;
69.687;3;3;4;5;2;5.412;429.5;Bahrain;2017;;
69.378;3;3;4;5;2;5.412;350;Bahrain;2018;;
68.752;3;3;4;5;2;5.412;260;Bahrain;2019;;
95.433;4;4;3;3;2;5.451;429.5;China;2017;;
91.796;4;4;3;3;2;5.451;350;China;2018;;
92.089;4;4;3;3;2;5.451;260;China;2019;;
101.789;3;2;2;1;2;6.003;429.5;Azerbaijan;2017;;
101.994;3;2;2;1;2;6.003;350;Azerbaijan;2018;;
101.069;3;2;2;1;2;6.003;260;Azerbaijan;2019;;
79.706;4;4;4;3;4;4.655;429.5;Spain;2017;;
76.816;4;4;4;3;4;4.655;350;Spain;2018;;
76.357;4;4;4;3;4;4.655;260;Spain;2019;;
72.496;1;1;1;1;5;3.337;429.5;Monaco;2017;;
70.973;1;1;1;1;5;3.337;350;Monaco;2018;;
70.618;1;1;1;1;5;3.337;260;Monaco;2019;;
72.403;2;1;1;1;2;4.361;429.5;Canada;2017;;
70.937;2;1;1;1;2;4.361;350;Canada;2018;;
71.06;2;1;1;1;2;4.361;260;Canada;2019;;
91.237;4;4;3;3;3;5.842;429.5;France;2017;;
90.705;4;4;3;3;3;5.842;350;France;2018;;
89.409;4;4;3;3;3;5.842;260;France;2019;;
64.983;2;3;2;1;3;4.318;429.5;Austria;2017;;
63.84;2;3;2;1;3;4.318;350;Austria;2018;;
63.439;2;3;2;1;3;4.318;260;Austria;2019;;
88.13;5;5;4;3;4;5.891;429.5;Britain;2017;;
86.602;5;5;4;3;4;5.891;350;Britain;2018;;
85.276;5;5;4;3;4;5.891;260;Britain;2019;;
72.159;3;3;3;2;3;4.574;429.5;Germany;2017;;
71.822;3;3;3;2;3;4.574;350;Germany;2018;;
72.113;3;3;3;2;3;4.574;260;Germany;2019;;
76.797;3;4;4;3;4;4.381;429.5;Hungary;2017;;
98.032;3;4;4;3;4;4.381;350;Hungary;2018;;
74.572;3;4;4;3;4;4.381;260;Hungary;2019;;
103.38;5;5;4;4;2;7.004;429.5;Belgium;2017;;
122.769;5;5;4;4;2;7.004;350;Belgium;2018;;
103.69;5;5;4;4;2;7.004;260;Belgium;2019;;
96.702;5;2;2;3;1;5.793;429.5;Italy;2017;;
80.615;5;2;2;3;1;5.793;350;Italy;2018;;
79.903;5;2;2;3;1;5.793;260;Italy;2019;;
99.814;1;2;1;3;5;5.065;429.5;Singapore;2017;;
96.334;1;2;1;3;5;5.065;350;Singapore;2018;;
96.813;1;2;1;3;5;5.065;260;Singapore;2019;;
95.161;1;3;3;2;4;5.848;429.5;Russia;2017;;
93.048;1;3;3;2;4;5.848;350;Russia;2018;;
92.31;1;3;3;2;4;5.848;260;Russia;2019;;
88.332;5;5;4;3;3;5.807;429.5;Japan;2017;;
89.057;5;5;4;3;3;5.807;350;Japan;2018;;
87.851;5;5;4;3;3;5.807;260;Japan;2019;;
93.658;3;4;2;3;3;5.513;429.5;United States;2017;;
93.542;3;4;2;3;3;5.513;350;United States;2018;;
92.096;3;4;2;3;3;5.513;260;United States;2019;;
76.574;3;2;2;2;4;4.304;429.5;Mexico;2017;;
74.785;3;2;2;2;4;4.304;350;Mexico;2018;;
74.758;3;2;2;2;4;4.304;260;Mexico;2019;;
68.925;3;4;3;3;4;4.309;429.5;Brazil;2017;;
67.778;3;4;3;3;4;4.309;350;Brazil;2018;;
67.508;3;4;3;3;4;4.309;260;Brazil;2019;;
97.328;2;3;2;2;3;5.554;429.5;Abu Dhabi;2017;;
95.589;2;3;2;2;3;5.554;350;Abu Dhabi;2018;;
95.139;2;3;2;2;3;5.554;260;Abu Dhabi;2019;;
